date,1,2,3,4
2021/6/14,7.31,7.63,1.5,0.14
2021/6/15,7.24,9.88,1.6,0.17
2021/6/16,7.48,6.51,1.8,0.07
2021/6/17,7.58,6.71,2.3,0.12
2021/6/18,8.39,7.54,2.9,0.25
2021/6/19,7.67,7.06,2,0.24
2021/6/20,7.91,7.25,3.8,0.22
2021/6/21,7.39,7.01,1.6,0.18
2021/6/22,7.8,7.42,3.7,0.13
2021/6/23,8.25,9.72,1.3,0.05
2021/6/24,7.31,7.18,2.4,0.14
2021/6/25,8.62,11.1,2.3,0.13
2021/6/26,7.36,8.28,1.7,0.12
2021/6/27,6.57,3.99,3.5,2.4
2021/6/28,7.49,0,1.9,0.26
2021/6/29,8.93,7.55,2.2,0.29
2021/6/30,7.47,7.13,3,0.66
2021/7/1,6.71,8.32,2.1,0.19
2021/7/2,7.42,7.19,1.7,0.08
2021/7/3,8.1,8.58,1,0.1
2021/7/4,7.61,7.3,2.8,0.23
2021/7/5,7.29,7.18,1.6,0.14
2021/7/6,7.25,9.26,1.7,0.11
2021/7/7,7.33,6.11,2.5,0.08
2021/7/8,7.54,6.19,2.6,0.13
2021/7/9,8.38,6.88,2.3,0.23
2021/7/10,7.71,7.7,1.8,0.12
2021/7/11,7.82,5.68,4.4,0.32
2021/7/12,7.44,6.66,1.6,0.18
2021/7/13,7.77,6.65,4.1,0.15
2021/7/14,7.97,9.21,1.3,0.11
2021/7/15,7.37,7.62,2.1,0.09
2021/7/16,8.66,10.2,2,0.15
2021/7/17,7.84,8.25,1.6,0.14
2021/7/18,6.58,5.43,3,1.14
2021/7/19,7.62,5.36,1.6,0.28
2021/7/20,8.9,7.94,2.5,0.5
2021/7/21,7.53,7.09,2.9,0.67
2021/7/22,6.64,8.55,2.1,0.57
2021/7/23,7.36,7.32,1.9,0.15
2021/7/24,8.04,8.01,1.1,0.08
2021/7/25,7.68,7.2,2.6,0.21
2021/7/26,7.22,6.79,1.6,0.15
2021/7/27,7.34,9.08,2,0.11
2021/7/28,7.12,6.3,2.4,0.09
2021/7/29,7.54,6.06,2.4,0.14
2021/7/30,8.43,6.51,2.3,0.24
2021/7/31,7.77,8.39,1.5,0.08
2021/8/1,7.61,4.34,5.5,0.51
2021/8/2,7.38,6.75,1.3,0.19
2021/8/3,7.77,6.67,4.1,0.18
2021/8/4,8.21,9.89,1.1,0.05
2021/8/5,7.16,7.17,2.6,0.26
2021/8/6,8.53,9.01,2.8,0.18
2021/8/7,7.77,7.98,1.7,0.13
2021/8/8,6.5,4.97,1.8,0.7
2021/8/9,7.59,6.13,1.1,0.28
2021/8/10,8.97,8.03,2.1,0.29
2021/8/11,7.65,7.25,3.2,0.63
2021/8/12,6.82,8.1,1.9,0.26
2021/8/13,7.31,7.03,1.8,0.12
2021/8/14,7.98,7.36,1.2,0.1
2021/8/15,7.73,7.36,2.3,0.23
2021/8/16,7.21,6.51,1.7,0.15
2021/8/17,7.2,8.96,1.7,0.14
2021/8/18,7.01,6.23,2.4,0.08
2021/8/19,7.57,6.29,2.5,0.14
2021/8/20,7.54,6.05,3.2,0.3
2021/8/21,7.82,8.82,1.6,0.07
2021/8/22,7.74,5.63,4.1,0.2
2021/8/23,7.46,7.25,1.8,0.19
