1,2,3,4,5,6,7,8,9
7.89,8.14,373.1,24.2,1.28,1.86,13.175,4645,0.061
7.89,8.16,373.9,25.4,1.39,1.84,13.28,4610,0.058
7.88,8.15,372.4,24.6,1.09,1.93,13.28,4610,0.061
7.8,7.79,372.8,25.1,1.66,1.85,13.28,4610,0.062
7.83,7.92,366.1,23.1,3.19,1.04,13.605,4560,0.072
7.85,7.92,366.3,21,2.11,0.99,13.605,4560,0.068
7.86,7.94,365.3,21.2,2.02,1,13.605,4560,0.065
7.88,7.86,366.1,20.5,2.45,1.98,13.84,5185,0.067
7.87,7.81,366.2,19.8,1.99,1.96,13.84,5185,0.062
7.89,7.82,365.9,20.1,1.69,1.96,13.84,5185,0.063
7.88,7.88,363.9,21.9,2.39,1.96,13.84,5185,0.062
7.87,7.92,364.7,19.5,1.7,1.96,13.84,5185,0.061
7.9,7.92,365.3,23.4,2.5,1.99,13.84,5185,0.063
7.88,7.91,367.3,26,2.14,2,14.015,5810,0.07
7.86,7.89,367.8,25.3,2.12,2.01,14.015,5810,0.068
7.83,7.8,368.4,24.9,2.11,2.01,14.015,5810,0.068
7.82,7.82,367.2,28,2.06,2.02,14.015,5810,0.069
7.83,7.8,367,27.6,2.19,2.01,14.015,5810,0.067
7.82,7.79,366.2,28.2,2.37,2.02,14.015,5810,0.068
7.83,7.79,367.5,31.4,2.29,2.03,14.37,6810,0.067
7.84,7.79,368,26.8,2.38,2.02,14.37,6810,0.068
7.83,7.77,368.4,29.8,1.98,1.98,14.37,6810,0.067
7.83,7.79,366.4,33.3,2.09,1.99,14.37,6810,0.071
7.86,7.83,367.1,29.8,2.05,1.96,14.37,6810,0.067
7.86,7.82,367.2,26.2,2.22,1.97,14.37,6810,0.067
7.85,7.83,367.6,25.2,2.02,1.98,14.615,8060,0.067
7.85,7.81,367.4,26.9,2.17,1.97,14.615,8060,0.071
7.83,7.81,367.7,27.3,1.92,1.96,14.615,8060,0.067
7.86,7.79,365.5,32.2,2.26,1.98,14.615,8060,0.07
7.86,7.76,365.3,29.8,1.86,1.98,14.615,8060,0.075
7.85,7.72,364.8,30.5,1.73,2.03,14.615,8060,0.085
7.85,7.68,366.2,34.9,2,2.02,14.805,8900,0.088
7.85,7.68,366.3,28.9,2.22,1.99,14.805,8900,0.09
7.83,7.7,366.8,29.7,1.78,2.02,14.805,8900,0.079
7.86,7.71,363.1,28.4,2.34,2.01,14.805,8900,0.073
7.88,7.66,360.6,29.2,1.96,2.02,14.805,8900,0.07
7.87,7.6,361.3,29.6,1.88,1.96,14.805,8900,0.071
7.84,7.54,362.7,28.6,2.43,2,14.895,9390,0.076
7.83,7.49,364.8,35.9,2.18,2.02,14.895,9390,0.083
7.84,7.46,364.9,34,2.04,2.03,14.895,9390,0.079
7.84,7.44,362.2,39.5,2.19,2.12,14.895,9390,0.074
7.84,7.5,349.7,33.2,2.24,2.1,14.8975,9165,0.077
7.84,7.55,350.9,32.6,1.92,2.09,14.8975,9165,0.068
7.9,7.61,359.5,27.5,2.13,2.05,14.8975,9165,0.083
7.9,7.66,348.1,25,1.94,2.08,14.84,8890,0.087
7.9,7.69,349.2,26,2.14,2.05,14.84,8890,0.086
7.9,7.71,349.5,25.9,1.82,2.04,14.84,8890,0.088
7.89,7.74,359.7,26.3,2.14,2.05,14.84,8890,0.086
7.88,7.74,356.2,26.3,1.75,2.05,14.84,8890,0.085
7.89,7.68,358.4,26.7,1.92,2.02,14.84,8890,0.081
